"Min,Max,Modal PriceVaranasi from 01-Jan-2023To29-Aug-2025 (Total-738) (Total-738)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
277,Varanasi,Varanasi,Wheat,Dara,FAQ,2750,2835,2800,02-Dec-24
278,Varanasi,Varanasi,Wheat,Dara,FAQ,2275,2400,2330,24-May-24
279,Varanasi,Varanasi,Wheat,Dara,FAQ,2835,2915,2870,28-Dec-24
280,Varanasi,Varanasi,Wheat,Dara,FAQ,2465,2550,2510,20-Dec-23
281,Varanasi,Varanasi,Wheat,Dara,FAQ,2450,2565,2520,08-Jan-24
282,Varanasi,Varanasi,Wheat,Dara,FAQ,2275,2385,2350,09-May-24
283,Varanasi,Varanasi,Wheat,Dara,FAQ,2445,2520,2470,06-Aug-24
284,Varanasi,Varanasi,Wheat,Dara,FAQ,2425,2530,2495,01-May-25
285,Varanasi,Varanasi,Wheat,Dara,FAQ,2275,2375,2345,16-Apr-24
286,Varanasi,Varanasi,Wheat,Dara,FAQ,2380,2485,2425,05-Jul-24
287,Varanasi,Varanasi,Wheat,Dara,FAQ,2480,2615,2565,18-Jun-25
288,Varanasi,Varanasi,Wheat,Dara,FAQ,2535,2615,2570,21-Aug-25
289,Varanasi,Varanasi,Wheat,Dara,FAQ,2240,2320,2275,22-Mar-23
290,Varanasi,Varanasi,Wheat,Dara,FAQ,2480,2625,2555,28-Jun-25
291,Varanasi,Varanasi,Wheat,Dara,FAQ,2275,2350,2315,14-Jul-23
292,Varanasi,Varanasi,Wheat,Dara,FAQ,2275,2420,2360,07-May-24
293,Varanasi,Varanasi,Wheat,Dara,FAQ,2125,2170,2135,10-Apr-23
294,Varanasi,Varanasi,Wheat,Dara,FAQ,2945,3025,2970,03-Mar-25
295,Varanasi,Varanasi,Wheat,Dara,FAQ,2425,2515,2500,25-Apr-25
296,Varanasi,Varanasi,Wheat,Dara,FAQ,2275,2385,2350,04-May-24
297,Varanasi,Varanasi,Wheat,Dara,FAQ,2350,2435,2375,07-Oct-23
